obj,k,test_number,ratio_TS,ratio_EB
CES-2,5,40,1.1503551364500355,0.8635964659237834
CES-2,5,41,1.2781909354209176,0.8772131541208781
CES-2,5,42,1.240472956230998,0.943578114930274
CES-2,5,43,1.136618491275929,0.8962712264453352
CES-2,5,44,1.3393819637842113,1.073979512748384
CES-2,5,45,1.2943705941298465,1.0942141737134845
CES-2,5,46,1.2332236735961513,1.0131525906801917
CES-2,5,47,1.2738294589698294,1.0886995892628937
CES-2,5,48,1.2187985194935222,0.9404636692534096
CES-2,5,49,1.2422580562881205,1.0420944960897656
CES-2,5,50,1.2635872687566527,1.0773356201366937
square_root,5,1,1.4140205437206848,0.9649531738776508
square_root,5,2,1.3981894715751877,0.8871939069143435
square_root,5,3,1.3871400735678072,0.9758529120818537
square_root,5,4,1.4338624780691944,1.0201081694030123
square_root,5,5,1.4184469051417432,0.9948815374123836
square_root,5,6,1.4256028680131727,1.1438602380475154
square_root,5,7,1.4123141460927644,1.0561857808781383
square_root,5,8,1.4056818355293943,1.0592755142987182
square_root,5,9,1.437465929383231,0.9982359175618584
square_root,5,10,1.4054511313913234,1.018582846810295
square_root,5,11,1.4499848759189766,1.1505300408691403
square_root,5,12,1.4096702466101774,1.1251532264891495
square_root,5,13,1.3869778897767993,1.126821533366081
square_root,5,14,1.3676961617031025,0.9674390294928856
square_root,5,15,1.3907363622321685,0.973955614089961
square_root,5,16,1.4308045776425429,1.072560978706992
square_root,5,17,1.422464074570482,0.9552833859300184
square_root,5,18,1.4298269132182075,1.0696854838548095
square_root,5,19,1.4245473903274029,1.0582554817863894
square_root,5,20,1.4033749057012883,1.0628461550846442
square_root,5,21,1.4235827629258544,1.0442860279106323
square_root,5,22,1.4049750716654628,1.0165259012693646
square_root,5,23,1.399223805134534,0.981008952900962
square_root,5,24,1.3971448716885555,1.0731771436248263
square_root,5,25,1.435172622962839,1.0561238818867926
square_root,5,26,1.4443013316343918,1.0303083436998486
square_root,5,27,1.4267057514221912,0.9984395890721944
square_root,5,28,1.4364783927465667,1.05670862087062
square_root,5,29,1.4252133443211317,1.0480837714844475
square_root,5,30,1.4274727695019194,1.054913833902037
square_root,5,31,1.42638190284952,1.0112055790898518
square_root,5,32,1.411077021451571,1.03572462481029
square_root,5,33,1.4089686522259075,1.0540346833804115
square_root,5,34,1.4410134606378937,1.1377089520012942
square_root,5,35,1.4221625863672265,1.0924586693188416
square_root,5,36,1.3652079214617503,0.9673365427832372
square_root,5,37,1.4159114248085587,0.9569133756638244
square_root,5,38,1.4016015399991706,0.994731384586106
square_root,5,39,1.3781286662707692,1.0429317769266973
square_root,5,40,1.352762357853851,0.9244438138030968
square_root,5,41,1.4182787688354244,0.9558874843509866
square_root,5,42,1.4082891667021151,0.9421607125604944
square_root,5,43,1.355039783276548,0.9612267288779556
square_root,5,44,1.4361915955118223,1.0376565578018353
square_root,5,45,1.4183154078777174,1.02899867441439
square_root,5,46,1.4080262759661104,1.0131436938060625
square_root,5,47,1.4159594673517737,1.03887503578829
square_root,5,48,1.3964915238762143,0.9845802954485428
square_root,5,49,1.4098894405729705,1.0505958019295347
square_root,5,50,1.4052929791634918,1.0551954782238115
max,10,1,1.754384331406635,1.2144652995506022
max,10,2,1.5836728193883762,1.258576546612853
max,10,3,1.5333887035926457,0.9088171091071352
max,10,4,1.546022405061499,0.9301554291173104
max,10,5,1.515441573286996,0.8704311731339792
max,10,6,1.518816747907166,0.94256834967905
max,10,7,1.5304969417185863,1.09034556091012
max,10,8,1.6506069455976105,1.3785449845236095
max,10,9,1.597965038411172,1.0561974552916156
max,10,10,1.674690855538712,1.000810212545052
max,10,11,1.5432355948329346,0.8830574006326143
max,10,12,1.4676233690344576,0.9331101207834752
max,10,13,1.4365884184478446,0.9082331364002496
max,10,14,1.5868999190636186,0.9287516282846002
max,10,15,1.6042335350142376,1.0684972518313849
max,10,16,1.6522853807925468,1.0942878053186236
max,10,17,1.5767838996046009,1.0302720065738102
max,10,18,1.7040351484048122,0.9171960486284684
max,10,19,1.6123492778320716,1.021708425563484
max,10,20,1.6250220199187542,1.0863088396086378
max,10,21,1.4972378854953083,0.9487681557488208
max,10,22,1.6234165857805278,0.967436623402685
max,10,23,1.65948017093615,1.0498052859559657
max,10,24,1.5339368733249692,1.0445188203065183
max,10,25,1.6550387578607333,0.969831230239542
max,10,26,1.5342949860659625,0.946670320644292
max,10,27,1.4888281328928703,1.1341471683050386
max,10,28,1.5502267045194962,1.161359840147652
max,10,29,1.4913051759701894,0.9078548532140808
max,10,30,1.5081400175415565,0.9214667079891212
max,10,31,1.4892841272413837,0.9695977659010452
max,10,32,1.5550277150512148,1.3358732640532835
max,10,33,1.5329742826267587,0.945948164704542
max,10,34,1.5176979415746157,1.043270343416265
max,10,35,1.4751577948727017,0.9380252906655008
max,10,36,1.502209043883736,0.918921067832308
max,10,37,1.5733869102045206,1.122834091585906
max,10,38,1.454162243642772,0.9741042845948816
max,10,39,1.600970078156783,1.0809110290414594
max,10,40,1.6204915912432123,0.964359437377184
max,10,41,1.5217837876856912,1.0213168484851596
max,10,42,1.597080068354661,0.996500403419775
max,10,43,1.6268705240098538,0.9631075848770702
max,10,44,1.672332705141948,1.0173838385220126
max,10,45,1.653892424757401,1.017891915020414
max,10,46,1.6094682933106588,1.21937192794716
max,10,47,1.5847561387868154,1.0595691065411976
max,10,48,1.6696583188602567,1.052497058892085
max,10,49,1.5569157382777536,1.0058599352106548
max,10,50,1.6058749008647466,0.9300872543625308
CES-2,10,1,1.4845602326256055,1.2050527728110607
CES-2,10,2,1.4156600516555071,1.228470094374906
CES-2,10,3,1.4119644948809125,0.9298494216387986
CES-2,10,4,1.4172561523994145,0.9626148306321824
CES-2,10,5,1.4191081592383248,0.9245482815162338
CES-2,10,6,1.4064307991063985,0.9719964566386428
CES-2,10,7,1.3802742222805309,1.0641806562350362
CES-2,10,8,1.4612518009724231,1.32050859528581
CES-2,10,9,1.448199602316205,1.0857868420307974
CES-2,10,10,1.4652105410932958,1.0084355937025036
CES-2,10,11,1.4129952037562166,0.9054658345991776
CES-2,10,12,1.369438738720428,0.9694542641505756
CES-2,10,13,1.3448053766785064,0.9288604480709792
CES-2,10,14,1.4339727004883465,0.9463158991603255
CES-2,10,15,1.4334852889585885,1.0697036224653818
CES-2,10,16,1.4497987810395747,1.1085284235598698
CES-2,10,17,1.431753402645762,1.0476776605935323
CES-2,10,18,1.472208992885696,0.951077263095394
CES-2,10,19,1.4428646767949282,1.0329113269417776
CES-2,10,20,1.4546546991706586,1.0915936639694206
CES-2,10,21,1.3867994001405135,0.9556593523891924
CES-2,10,22,1.4569929525500622,0.9693190610409498
CES-2,10,23,1.4525945706428731,1.0654266363583489
CES-2,10,24,1.3817437101568035,1.0545193402449722
CES-2,10,25,1.429579785417329,1.0025923463471431
CES-2,10,26,1.410877823218453,0.95773384896592
