obj,k,measure,test_number,ratio_TS,ratio_EB
max,5,"(2, 8)",48,1.863307969527248,1.031776069037592
max,5,"(2, 8)",49,1.939579035289027,1.0375098730402244
max,5,"(2, 8)",50,1.8251044010917847,0.9771764809465826
CES-2,5,"(2, 8)",1,1.4512839216974576,0.9723117883074102
CES-2,5,"(2, 8)",2,1.4567890910197914,1.01846251865688
CES-2,5,"(2, 8)",3,1.451993540545337,0.9897920366477714
CES-2,5,"(2, 8)",4,1.451921108913966,1.003419234117186
CES-2,5,"(2, 8)",5,1.4449036810313556,0.9807446482406752
CES-2,5,"(2, 8)",6,1.4550664049361852,0.9723343417895528
CES-2,5,"(2, 8)",7,1.4673017650119689,1.0039138869227446
CES-2,5,"(2, 8)",8,1.4393832768395782,1.0036462276570646
CES-2,5,"(2, 8)",9,1.446967258723045,0.9816848565478022
CES-2,5,"(2, 8)",10,1.4657649991598936,0.989460712774305
CES-2,5,"(2, 8)",11,1.4772806100461229,1.0174996483586831
CES-2,5,"(2, 8)",12,1.4537855511142423,0.9752158688793718
CES-2,5,"(2, 8)",13,1.4441447920752246,1.0044175927634182
CES-2,5,"(2, 8)",14,1.4490857630733307,1.0013737689166131
CES-2,5,"(2, 8)",15,1.46512445273502,1.0206364897585902
CES-2,5,"(2, 8)",16,1.459890357670027,1.0212075496759856
CES-2,5,"(2, 8)",17,1.4680112144734931,1.003044439462227
CES-2,5,"(2, 8)",18,1.4813518645957695,1.0196215955002987
CES-2,5,"(2, 8)",19,1.454384853140689,0.9773230985053666
CES-2,5,"(2, 8)",20,1.436199763384064,0.9930293374463866
CES-2,5,"(2, 8)",21,1.4305432668943503,0.963023740378914
CES-2,5,"(2, 8)",22,1.4431560156290506,0.9878514197771948
CES-2,5,"(2, 8)",23,1.462270004013748,1.010480786551341
CES-2,5,"(2, 8)",24,1.4469426212593457,0.998400325439035
CES-2,5,"(2, 8)",25,1.4424238152280433,1.0032123542877234
CES-2,5,"(2, 8)",26,1.4406024670617956,1.0113570810604846
CES-2,5,"(2, 8)",27,1.447537400202157,1.0190612608567269
CES-2,5,"(2, 8)",28,1.42923753665365,1.025059801826868
CES-2,5,"(2, 8)",29,1.4424461942854685,0.9829465739635936
CES-2,5,"(2, 8)",30,1.4386792414356266,0.998735551096268
CES-2,5,"(2, 8)",31,1.4651764612537692,0.981495734095733
CES-2,5,"(2, 8)",32,1.4665321273823426,0.9925335047552284
CES-2,5,"(2, 8)",33,1.4485298853486317,1.0136929256601876
CES-2,5,"(2, 8)",34,1.4543882111189657,1.0250786661737117
CES-2,5,"(2, 8)",35,1.473395278493446,1.047270204008233
CES-2,5,"(2, 8)",36,1.4429319827313285,1.021437938749707
CES-2,5,"(2, 8)",37,1.4364122182029295,0.9931250874623916
CES-2,5,"(2, 8)",38,1.437111552047742,1.027088013717799
CES-2,5,"(2, 8)",39,1.42569132050507,0.9988157411058868
CES-2,5,"(2, 8)",40,1.448520690418223,1.0001042462179013
CES-2,5,"(2, 8)",41,1.4597244554497024,0.978396258105406
CES-2,5,"(2, 8)",42,1.4599192950772726,0.9689453929467556
CES-2,5,"(2, 8)",43,1.4725278912536004,1.009947913518411
CES-2,5,"(2, 8)",44,1.4595224625455223,0.9777108187902406
CES-2,5,"(2, 8)",45,1.4472310407273394,0.9753981459831882
CES-2,5,"(2, 8)",46,1.4605368933178875,0.998917501046751
CES-2,5,"(2, 8)",47,1.4458869781662849,1.009683590608655
CES-2,5,"(2, 8)",48,1.4513961182667203,1.03506333722619
CES-2,5,"(2, 8)",49,1.457679468232804,1.011322066972833
CES-2,5,"(2, 8)",50,1.4349437610328362,1.003515953343851
square_root,5,"(2, 8)",1,1.4575280718082788,0.9860018529794148
square_root,5,"(2, 8)",2,1.458648157869527,1.0089050295641857
square_root,5,"(2, 8)",3,1.4588635003195465,0.9963166798673292
square_root,5,"(2, 8)",4,1.4612216520205903,1.0014225050394086
square_root,5,"(2, 8)",5,1.4542218441473211,0.9909217697302048
square_root,5,"(2, 8)",6,1.460834179388376,0.9861973250869166
square_root,5,"(2, 8)",7,1.4691801048881572,1.000079673961907
square_root,5,"(2, 8)",8,1.4546334653356865,1.001796552825587
square_root,5,"(2, 8)",9,1.4561864587031077,0.9935124899242986
square_root,5,"(2, 8)",10,1.4722740033812047,0.995126342420104
square_root,5,"(2, 8)",11,1.4765904999331203,1.0072929981648515
square_root,5,"(2, 8)",12,1.462539441015543,0.989101480598232
square_root,5,"(2, 8)",13,1.4569576934194,1.0024491307389116
square_root,5,"(2, 8)",14,1.4574985771536486,0.998989996138564
square_root,5,"(2, 8)",15,1.465745762655192,1.010702694894868
square_root,5,"(2, 8)",16,1.4641720843335917,1.0072960369964026
square_root,5,"(2, 8)",17,1.4687110481731775,0.9964169919217832
square_root,5,"(2, 8)",18,1.476238363725472,1.009069582492513
square_root,5,"(2, 8)",19,1.4610561435225853,0.985787655952614
square_root,5,"(2, 8)",20,1.4533670137948045,0.9966361949895068
square_root,5,"(2, 8)",21,1.4487104135690947,0.9839533287654472
square_root,5,"(2, 8)",22,1.4542557219802186,0.9934114342006828
square_root,5,"(2, 8)",23,1.4629986248449534,1.0046416714555908
square_root,5,"(2, 8)",24,1.4560457564662468,0.9947946199665952
square_root,5,"(2, 8)",25,1.452906577419677,0.9997688984237528
square_root,5,"(2, 8)",26,1.4491152899863695,1.0047060921520925
square_root,5,"(2, 8)",27,1.4598665469288998,1.0107571940868263
square_root,5,"(2, 8)",28,1.445565562505998,1.0130322976408868
square_root,5,"(2, 8)",29,1.4545115430212543,0.9917854803777132
square_root,5,"(2, 8)",30,1.4511920189740468,0.998644727635418
square_root,5,"(2, 8)",31,1.4643492711966686,0.990564182711768
square_root,5,"(2, 8)",32,1.4645740042154185,0.995120801444372
square_root,5,"(2, 8)",33,1.4565705315489823,1.006642905711249
square_root,5,"(2, 8)",34,1.4637997283966722,1.0100333408863138
square_root,5,"(2, 8)",35,1.47441956443456,1.0231007291482574
square_root,5,"(2, 8)",36,1.4508589502628553,1.0104230352271435
square_root,5,"(2, 8)",37,1.4487384874163305,0.9978237827642632
square_root,5,"(2, 8)",38,1.4516940120700317,1.0077831632451704
square_root,5,"(2, 8)",39,1.447656686638929,1.0044716197150287
square_root,5,"(2, 8)",40,1.4585000181481271,1.0012512659580752
square_root,5,"(2, 8)",41,1.4657467505201305,0.9857616952835494
square_root,5,"(2, 8)",42,1.463610826044906,0.9826002412430532
square_root,5,"(2, 8)",43,1.475345138389551,1.0063989499199373
square_root,5,"(2, 8)",44,1.4637349042272876,0.9890562463299551
square_root,5,"(2, 8)",45,1.4549706947172052,0.9864582421187352
square_root,5,"(2, 8)",46,1.4656813185984032,0.9975130241236606
square_root,5,"(2, 8)",47,1.4567452121074682,1.0010600269012957
square_root,5,"(2, 8)",48,1.4603594605605896,1.0145015931822263
square_root,5,"(2, 8)",49,1.4616588643867938,1.0013822370219672
square_root,5,"(2, 8)",50,1.4513253245567634,1.0040624692651856
max,10,"(2, 8)",1,2.3750436071172505,0.9941560350586948
max,10,"(2, 8)",2,2.43373165648711,1.0009986104456836
max,10,"(2, 8)",3,2.439800244584625,1.0393350351268371
max,10,"(2, 8)",4,2.4418537891728,0.9733503224906124
max,10,"(2, 8)",5,2.39264149300618,0.9832629829470256
max,10,"(2, 8)",6,2.4020722110066126,0.9807272482508193
max,10,"(2, 8)",7,2.425581431772766,0.9985255370122268
max,10,"(2, 8)",8,2.4263219624374326,1.0175398999695806
max,10,"(2, 8)",9,2.3991171528928947,0.988424323574914
max,10,"(2, 8)",10,2.425300977545952,1.0060824529611654
max,10,"(2, 8)",11,2.5365812887081898,1.0108940593738835
max,10,"(2, 8)",12,2.490428578998257,1.0165764715793129
