obj,k,measure,test_number,ratio_TS,ratio_EB
CES-2,10,view_day,33,1.4072489562521793,1.082119827742316
CES-2,10,view_day,34,1.3519507544770002,1.0986060824594457
CES-2,10,view_day,35,1.264662460439559,1.0013589514739372
CES-2,10,view_day,36,1.2678887099548777,1.0179950538053797
CES-2,10,view_day,37,1.3571211577048432,1.096151096836402
CES-2,10,view_day,38,1.4090849083041193,1.0093321537348718
CES-2,10,view_day,39,1.2969674201904955,0.9749012499739432
CES-2,10,view_day,40,1.3063579780262708,1.1380552100442811
CES-2,10,view_day,41,1.3308133354974552,1.082021400867651
CES-2,10,view_day,42,1.2698316366090747,1.2146799908428052
CES-2,10,view_day,43,1.273078985318268,1.1033516216311796
CES-2,10,view_day,44,1.3040572401237849,1.0176855855043865
CES-2,10,view_day,45,1.3244741200776688,0.949919440316804
CES-2,10,view_day,46,1.3116459563516631,0.9665295051235652
CES-2,10,view_day,47,1.3546640951055315,0.9752648837450322
CES-2,10,view_day,48,1.3473266532302208,1.1623284753217566
CES-2,10,view_day,49,1.3660144108346568,1.1594325950729445
CES-2,10,view_day,50,1.4137514979656405,0.9918809614760652
square_root,10,view_day,1,1.5745313914653167,1.04334307502846
square_root,10,view_day,2,1.5587476092815455,1.01047690949943
square_root,10,view_day,3,1.5638041641849754,0.9938399652614516
square_root,10,view_day,4,1.5293008726337396,0.9862198311778942
square_root,10,view_day,5,1.5497558774429754,1.0491360550036686
square_root,10,view_day,6,1.611935780863605,0.9992443099727792
square_root,10,view_day,7,1.6361801535337166,0.994737915743013
square_root,10,view_day,8,1.5865208957937558,1.0327026294035015
square_root,10,view_day,9,1.6067508187020976,1.0280246700117888
square_root,10,view_day,10,1.5704312521282653,1.0215032395617
square_root,10,view_day,11,1.5759006764177486,1.001546771070337
square_root,10,view_day,12,1.6277919164164063,0.969340468103994
square_root,10,view_day,13,1.5979455002189478,0.9740066817147
square_root,10,view_day,14,1.582927322333074,0.9987971296260714
square_root,10,view_day,15,1.5896672544229036,1.014972413367009
square_root,10,view_day,16,1.606247869974381,0.9828269566509084
square_root,10,view_day,17,1.6085927957368864,1.04789841376346
square_root,10,view_day,18,1.5377294949696887,1.0219584456544228
square_root,10,view_day,19,1.6374430757911616,0.9995947722181526
square_root,10,view_day,20,1.582899833890568,1.032191330705185
square_root,10,view_day,21,1.5779044663331672,0.9656042036924578
square_root,10,view_day,22,1.604321779423612,1.0216878601119892
square_root,10,view_day,23,1.55603396350354,0.9865816811936235
square_root,10,view_day,24,1.5809648657964257,0.98174841250062
square_root,10,view_day,25,1.6246000311872624,1.0320839451011274
square_root,10,view_day,26,1.5857135427439426,1.0094849374440775
square_root,10,view_day,27,1.6346160006526946,1.0064785437254
square_root,10,view_day,28,1.559291122101554,1.0079782658862797
square_root,10,view_day,29,1.5867948558599685,0.992499237596435
square_root,10,view_day,30,1.5891467337716887,1.0399534688062582
square_root,10,view_day,31,1.5856342878136849,1.005412616243172
square_root,10,view_day,32,1.6178894628781664,0.996625715811126
square_root,10,view_day,33,1.609799282812109,1.0171239666798122
square_root,10,view_day,34,1.5805135980151033,1.0371057716440686
square_root,10,view_day,35,1.5502034222462524,0.9896528233164478
square_root,10,view_day,36,1.5716647065233955,0.9907506865477188
square_root,10,view_day,37,1.5871074782349623,1.033979770552783
square_root,10,view_day,38,1.6301322850733988,0.9938527335265156
square_root,10,view_day,39,1.5716811288388242,0.9861768683392834
square_root,10,view_day,40,1.5665694298583093,1.0482694512603996
square_root,10,view_day,41,1.5633510155261694,1.0293518874686478
square_root,10,view_day,42,1.5595679187831577,1.0536309587883708
square_root,10,view_day,43,1.5513306934594495,1.0225792084740997
square_root,10,view_day,44,1.5766023140460337,0.9839308445151288
square_root,10,view_day,45,1.5763218842062146,0.9598875708268636
square_root,10,view_day,46,1.58928975866914,0.9787741633690634
square_root,10,view_day,47,1.6055218048729654,0.9637235166674428
square_root,10,view_day,48,1.601973739687705,1.0555868108075337
square_root,10,view_day,49,1.596715859970542,1.05900128633624
square_root,10,view_day,50,1.6426589822338202,0.9859485598357516
max,5,log_view,1,2.204801610120548,0.99511583413353
max,5,log_view,2,2.229146537902518,0.995243611516712
max,5,log_view,3,2.142987468556297,0.9982329671490204
max,5,log_view,4,2.21099368532428,0.9974155142512576
max,5,log_view,5,2.0966125525571955,0.9944623469045044
max,5,log_view,6,2.093437413579894,0.999425867727442
max,5,log_view,7,2.1358274078792454,0.9951259297181124
max,5,log_view,8,2.226569634226084,0.9945947777498716
max,5,log_view,9,2.194726466517888,0.9947950544839992
max,5,log_view,10,2.127280011152435,0.999425867727442
max,5,log_view,11,2.17142484122356,0.995573887945997
max,5,log_view,12,2.159837797069617,0.9980210072788496
max,5,log_view,13,2.187150419554432,0.996601519888613
max,5,log_view,14,2.213155524160111,0.9921021053569214
max,5,log_view,15,2.188448845031321,0.9984501072933386
max,5,log_view,16,2.19140088000905,1.0019101404329267
max,5,log_view,17,2.1897378061130155,0.9971892254353332
max,5,log_view,18,2.197501327763592,0.9936238231203804
max,5,log_view,19,2.2146093497056403,0.9936747056776272
max,5,log_view,20,2.1498991802299106,1.002436314183778
max,5,log_view,21,2.1739247796646337,0.9924711698744616
max,5,log_view,22,2.197445341208376,0.9979138762614892
